,Name job,Link,Min_salary,Max_salary,Where,Employer,Employer_link,Address
115,Python разработчик,https://hh.ru/vacancy/48935169?from=vacancy_search_list&query=Python,,,hh.ru,ООО Строительный Двор,https://hh.ru/employer/665449,"Москва, Выставочная"
116,Ведущий Python Разработчик,https://hh.ru/vacancy/48944532?from=vacancy_search_list&query=Python,,,hh.ru,ИП Тарасова А.А.,https://hh.ru/employer/1111145,Москва
117,Разработчик Python (искусственный интеллект),https://hh.ru/vacancy/48851241?from=vacancy_search_list&query=Python,,,hh.ru,Корпорация ЭЛАР,https://hh.ru/employer/4526,Москва
118,Senior Python Developer,https://hh.ru/vacancy/44878097?from=vacancy_search_list&query=Python,,,hh.ru,VK Pay,https://hh.ru/employer/5313148,Москва
119,Разработчик Python,https://hh.ru/vacancy/46692454?from=vacancy_search_list&query=Python,,,hh.ru,Инфотекс Интернет Траст,https://hh.ru/employer/5672,Москва
120,Backend-разработчик (python),https://hh.ru/vacancy/47764127?from=vacancy_search_list&query=Python,,,hh.ru,ЛитРес,https://hh.ru/employer/745654,"Москва, Выставочная и еще 1 "
121,Разработчик Python,https://hh.ru/vacancy/48796770?from=vacancy_search_list&query=Python,,,hh.ru,Сбер. IT,https://hh.ru/employer/3529?dpt=3529-3529-it,Москва
122,Ведущий Python разработчик,https://hh.ru/vacancy/47910445?from=vacancy_search_list&query=Python,200000.0,350000.0,hh.ru,ODDSCORP,https://hh.ru/employer/3189417,Москва
123,Python разработчик,https://hh.ru/vacancy/48758954?from=vacancy_search_list&query=Python,,,hh.ru,Сбер. Экспертам и руководителям,https://hh.ru/employer/3529?dpt=3529-3529-lead,Москва
124,Python разработчик,https://hh.ru/vacancy/48752474?from=vacancy_search_list&query=Python,,,hh.ru,Яндекс,https://hh.ru/employer/1740,Москва
125,Python Developer,https://hh.ru/vacancy/48804528?from=vacancy_search_list&query=Python,,,hh.ru,ООО ЦИФРА,https://hh.ru/employer/3191643,"Москва, Университет"
126,Python разработчик,https://hh.ru/vacancy/48744745?from=vacancy_search_list&query=Python,,,hh.ru,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
127,Data Engineer (Python),https://hh.ru/vacancy/48219778?from=vacancy_search_list&query=Python,,,hh.ru,Detego,https://hh.ru/employer/3795484,"Москва, Новокузнецкая"
128,Middle Python-разработчик,https://hh.ru/vacancy/48307116?from=vacancy_search_list&query=Python,,,hh.ru,VSEMAYKI.RU,https://hh.ru/employer/873710,Москва
129,Senior Python разработчик (Наставник),https://hh.ru/vacancy/47536823?from=vacancy_search_list&query=Python,209500.0,261900.0,hh.ru,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,"Москва, Кутузовская и еще 1 "
130,Senior Python Developer / Data Engineer,https://hh.ru/vacancy/48838062?from=vacancy_search_list&query=Python,,300000.0,hh.ru,Национальный исследовательский университет Высшая школа экономики,https://hh.ru/employer/80981,Москва
131,Python-разработчик,https://hh.ru/vacancy/48846667?from=vacancy_search_list&query=Python,,,hh.ru,Spice Agency,https://hh.ru/employer/654435,Москва
132,Python разработчик/ Django,https://hh.ru/vacancy/48792084?from=vacancy_search_list&query=Python,,,hh.ru,ГК «ХайТэк»,https://hh.ru/employer/2262181,"Москва, Текстильщики"
133,Senior Machine Learning Developer (Java/Python),https://hh.ru/vacancy/43770378?from=vacancy_search_list&query=Python,300000.0,,hh.ru,Joom,https://hh.ru/employer/2801530,"Москва, Динамо и еще 2 "
134,Python developer,https://hh.ru/vacancy/48796300?from=vacancy_search_list&query=Python,,,hh.ru,WILDBERRIES,https://hh.ru/employer/87021,Москва
135,Программист Python,https://hh.ru/vacancy/48784272?from=vacancy_search_list&query=Python,,,hh.ru,Сбер. IT,https://hh.ru/employer/3529?dpt=3529-3529-it,"Москва, Кутузовская и еще 1 "
136,Python разработчик,https://hh.ru/vacancy/48600364?from=vacancy_search_list&query=Python,,,hh.ru,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
137,Python разработчик,https://hh.ru/vacancy/45537379?from=vacancy_search_list&query=Python,,,hh.ru,"ПАО «МТС», IT",https://hh.ru/employer/3776?dpt=mts-3776-it,"Москва, Технопарк"
138,Python developer,https://hh.ru/vacancy/46411093?from=vacancy_search_list&query=Python,,,hh.ru,SberTech,https://hh.ru/employer/906557,Москва
139,Python Developer,https://hh.ru/vacancy/48824707?from=vacancy_search_list&query=Python,,,hh.ru,Luxoft,https://hh.ru/employer/1304,Москва
140,"Код-ревьюер на курс ""Python-разработчик""",https://hh.ru/vacancy/48755695?from=vacancy_search_list&query=Python,,,hh.ru,Яндекс.Практикум,https://hh.ru/employer/5008932,Москва
141,Разработчик Python,https://hh.ru/vacancy/47301256?from=vacancy_search_list&query=Python,,,hh.ru,"ВСК, САО",https://hh.ru/employer/1439,Москва
142,Python разработчик (удаленно),https://hh.ru/vacancy/40278614?from=vacancy_search_list&query=Python,150000.0,220000.0,hh.ru,ООО Строительный Двор,https://hh.ru/employer/665449,Москва
143,Python разработчик,https://hh.ru/vacancy/48570014?from=vacancy_search_list&query=Python,,,hh.ru,Сбер. IT,https://hh.ru/employer/3529?dpt=3529-3529-it,"Москва, Кутузовская и еще 1 "
144,Senior Python developer,https://hh.ru/vacancy/47381245?from=vacancy_search_list&query=Python,,,hh.ru,SUNLIGHT/САНЛАЙТ,https://hh.ru/employer/18239,"Москва, Мякинино и еще 3 "
145,Программист Python (Junior/Middle),https://hh.ru/vacancy/48485942?from=vacancy_search_list&query=Python,,100000.0,hh.ru,VIRTUAL ASSISTANTS,https://hh.ru/employer/5482458,Москва
146,Python разработчик в SberDevices (b2e),https://hh.ru/vacancy/44536394?from=vacancy_search_list&query=Python,,,hh.ru,Сбер. IT,https://hh.ru/employer/3529?dpt=3529-3529-it,"Москва, Кутузовская и еще 1 "
147,Стажер-разработчик бэкенда (Python),https://hh.ru/vacancy/48502238?from=vacancy_search_list&query=Python,,,hh.ru,Яндекс,https://hh.ru/employer/1740,"Москва, Парк культуры"
148,Python-разработчик/Senior Python-разработчик,https://hh.ru/vacancy/44790039?from=vacancy_search_list&query=Python,,,hh.ru,Информационное агентство России ТАСС,https://hh.ru/employer/3063,Москва
149,Программист Python,https://hh.ru/vacancy/48527158?from=vacancy_search_list&query=Python,,,hh.ru,ООО Цифровые Сервисы,https://hh.ru/employer/5085889,Москва
150,Senior Python Developer,https://hh.ru/vacancy/47794704?from=vacancy_search_list&query=Python,,,hh.ru,Hunt For You,https://hh.ru/employer/4456441,Москва
151,Python Developer,https://hh.ru/vacancy/48805523?from=vacancy_search_list&query=Python,,,hh.ru,ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Москва
152,Разработчик Python (Middle),https://hh.ru/vacancy/48531983?from=vacancy_search_list&query=Python,150000.0,250000.0,hh.ru,ООО Quins,https://hh.ru/employer/660571,Москва
153,Python + DS-ML разработчик,https://hh.ru/vacancy/48698705?from=vacancy_search_list&query=Python,,,hh.ru,"Иннотех, Группа компаний",https://hh.ru/employer/4649269,Москва
154,Разработчик Python,https://hh.ru/vacancy/46706157?from=vacancy_search_list&query=Python,,,hh.ru,Банк ВТБ (ПАО),https://hh.ru/employer/4181,Москва
155,Python разработчик,https://hh.ru/vacancy/47041312?from=vacancy_search_list&query=Python,,,hh.ru,ООО Строительный Двор,https://hh.ru/employer/665449,Москва
156,Разработчик Python,https://hh.ru/vacancy/46912402?from=vacancy_search_list&query=Python,,,hh.ru,ООО ГПМ РТВ,https://hh.ru/employer/2155808?dpt=2155808-2155808-gpm,Москва
157,Разработчик Python,https://hh.ru/vacancy/48463982?from=vacancy_search_list&query=Python,,400000.0,hh.ru,AGIMA,https://hh.ru/employer/238354,"Москва, Чеховская"
158,Python Developer,https://hh.ru/vacancy/48623262?from=vacancy_search_list&query=Python,,,hh.ru,ООО ИЦ АЙ-ТЕКО,https://hh.ru/employer/872178,Москва
